AvgSleep	StudyHours	RecHours	WorkBinary	WorkHours
2-4	10-15	0-4	No	0
4-6	10-15	5-8	No	0
4-6	16-20	0-4	No	0
4-6	10-15	5-8	No	20+
4-6	0-5	9-12	No	0
6-8	10-15	5-8	No	0
6-8	6-10	9-12	No	0
6-8	16-20	0-4	No	0
6-8	10-15	5-8	No	0
6-8	6-10	15+	No	0
6-8	0-5	5-8	No	0
6-8	10-15	5-8	No	0
6-8	6-10	5-8	No	0
8+	10-15	13-15	No	0
2-4	20+	15+	Yes	20+
4-6	6-10	9-12	Yes	0
4-6	20+	5-8	Yes	20+
4-6	10-15	0-4	Yes	16-20
4-6	10-15	0-4	Yes	20+
4-6	10-15	5-8	Yes	16-20
4-6	0-5	15+	Yes	20+
4-6	20+	9-12	Yes	6-10
6-8	0-5	5-8	Yes	20+
6-8	6-10	9-12	Yes	6-10
6-8	16-20	9-12	Yes	11-15
6-8	6-10	9-12	Yes	20+
6-8	6-10	5-8	Yes	20+
6-8	10-15	0-4	Yes	11-15
6-8	6-10	5-8	Yes	16-20
8+	6-10	5-8	Yes	16-20
8+	6-10	5-8	Yes	16-20
8+	0-5	15+	Yes	1-5
4-6	10-15	5-8	Yes	1-5
6-8	0-5	15+	Yes	20+
6-8	16-20	5-8	No	0
4-6	16-20	13-15	No	0
4-6	10-15	5-8	Yes	11-15
4-6	10-15	5-8	No	0
6-8	6-10	9-12	Yes	11-15
6-8	10-15	5-8	No	0
4-6	16-20	0-4	No	0
6-8	6-10	5-8	Yes	11-15
8+	10-15	9-12	No	0
6-8	6-10	9-12	Yes	6-10
4-6	10-15	5-8	No	0
6-8	6-10	9-12	Yes	16-20
8+	16-20	5-8	Yes	1-5
4-6	10-15	0-4	No	0
6-8	6-10	5-8	No	0
6-8 6-10 5-8 Yes 11-15
